"ID","ProcessName","Ws","Path","UserName","Time","Cpu"
"328","csrss","3928064",,,"13.04.2021 20:01:05","0,3125"
"396","csrss","20877312",,,"13.04.2021 20:01:05","11,65625"
"684","dwm","47468544","C:\Windows\system32\dwm.exe","Window Manager\DWM-1","13.04.2021 20:01:05","21,796875"
"2132","explorer","90042368","C:\Windows\explorer.exe","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","22,390625"
"0","Idle","4096",,,"13.04.2021 20:01:05",
"496","lsass","11427840","C:\Windows\system32\lsass.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","1,546875"
"932","mmc","24174592","C:\Windows\system32\mmc.exe","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","2,09375"
"1960","msdtc","7090176","C:\Windows\System32\msdtc.exe","NT AUTHORITY\NETWORK SERVICE","13.04.2021 20:01:05","0,078125"
"1680","notepad","9486336","C:\Windows\system32\NOTEPAD.EXE","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","0,328125"
"2668","notepad","9515008","C:\Windows\system32\NOTEPAD.EXE","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","0,109375"
"2768","notepad","9469952","C:\Windows\system32\NOTEPAD.EXE","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","1,3125"
"2836","notepad","9412608","C:\Windows\system32\NOTEPAD.EXE","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","0,359375"
"192","powershell_ise","224985088","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","153,390625"
"488","services","5664768",,,"13.04.2021 20:01:05","0,78125"
"236","smss","991232",,,"13.04.2021 20:01:05","0,21875"
"1036","spoolsv","10219520","C:\Windows\System32\spoolsv.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0,109375"
"340","svchost","12111872","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","13.04.2021 20:01:05","0,34375"
"560","svchost","10088448","C:\Windows\system32\svchost.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0,328125"
"604","svchost","6549504","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","13.04.2021 20:01:05","0,921875"
"772","svchost","16740352","C:\Windows\System32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","13.04.2021 20:01:05","9,546875"
"804","svchost","26370048","C:\Windows\system32\svchost.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","3,34375"
"828","svchost","12361728","C:\Windows\system32\svchost.exe","NT AUTHORITY\LOCAL SERVICE","13.04.2021 20:01:05","1,78125"
"908","svchost","19689472","C:\Windows\system32\svchost.exe","NT AUTHORITY\NETWORK SERVICE","13.04.2021 20:01:05","1,046875"
"1068","svchost","8253440","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0,078125"
"1096","svchost","11563008","C:\Windows\System32\svchost.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0,140625"
"4","System","258048",,,"13.04.2021 20:01:05","43,875"
"332","taskhostex","9334784","C:\Windows\system32\taskhostex.exe","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","0,09375"
"2432","TrustedInstaller","5365760","C:\Windows\servicing\TrustedInstaller.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0"
"696","VBoxService","5582848","C:\Windows\System32\VBoxService.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","1,46875"
"1544","VBoxTray","11120640","C:\Windows\System32\VBoxTray.exe","WIN-JE23C730F2B\?????????????","13.04.2021 20:01:05","1,65625"
"404","wininit","4153344","C:\Windows\system32\wininit.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0,09375"
"432","winlogon","6557696","C:\Windows\system32\winlogon.exe","NT AUTHORITY\???????","13.04.2021 20:01:05","0,125"
